id,username,text,likes,retweets,replies,created_at
1,kavya_sharma,"Doctor prescribed 3 days of medicine, but @ApolloPharmacy gave me 10 tablets. Not happy with the service! #ApolloPharmacy #PrescriptionError",324,196,54,2025-01-19 05:15:00
2,nisha_gupta,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",968,29,29,2024-12-18 23:09:00
3,kavya702,"Change staff at @ApolloPharmacy MMDA, Chennai. They don't respect patients' prescriptions. #ApolloPharmacy #Complaint",565,181,61,2024-12-18 11:17:00
4,kavya603,"Doctor prescribed 3 days of medicine, but @ApolloPharmacy gave me 10 tablets. Not happy with the service! #ApolloPharmacy #PrescriptionError",627,11,93,2025-01-11 16:58:00
5,vikas_joshi,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,682,83,42,2024-12-10 05:20:00
6,pooja_mehta,Fake deliveries by @ApolloPharmacy's courier partner. No communication at all! #DeliveryFailed #ApolloPharmacy,991,140,30,2024-12-14 15:06:00
7,rohit115,Just another day at @ApolloPharmacy. No complaints so far. #Neutral,453,184,94,2024-11-18 21:20:00
8,amit268,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,693,183,65,2024-12-06 09:56:00
9,anita228,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,153,30,77,2024-12-07 14:33:00
10,manoj.kumar,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,368,75,28,2024-11-11 22:58:00
11,amit.sharma,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",651,54,69,2024-12-26 17:43:00
12,ajay.reddy,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",353,73,1,2024-12-01 11:38:00
13,rohit115,Used @ApolloPharmacy for the first time. Service was decent. #FirstImpression,102,81,29,2024-12-08 08:33:00
14,arjun.patel,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,363,140,46,2024-12-19 15:18:00
15,rahul.reddy,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,869,190,24,2024-11-06 03:08:00
16,arjun.kumar,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,487,194,51,2025-01-27 08:45:00
17,shreya.singh,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,973,133,55,2024-12-21 05:09:00
18,amit723,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",789,17,13,2024-12-08 09:27:00
19,vikas263,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,8,188,96,2025-01-05 22:02:00
20,amit.mehta,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,955,187,55,2025-01-29 00:30:00
21,priya235,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,324,8,31,2025-01-29 15:23:00
22,amit997,"Doctor prescribed 3 days of medicine, but @ApolloPharmacy gave me 10 tablets. Not happy with the service! #ApolloPharmacy #PrescriptionError",671,161,83,2024-12-10 21:02:00
23,rahul387,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,753,59,30,2024-12-24 18:09:00
24,nisha.gupta,Picked up my prescription from @ApolloPharmacy. Everything was fine. #NoIssues,205,36,57,2025-01-09 14:50:00
25,amit230,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,179,198,58,2024-11-02 14:57:00
26,kavya283,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,81,88,26,2024-12-22 00:11:00
27,amit_reddy,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,554,58,91,2025-01-28 11:17:00
28,ankit.choudhary,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,395,173,76,2024-11-25 04:07:00
29,sandeep_patel,Placed an order with @ApolloPharmacy but didn't receive one of my medicines. Immediate resolution needed! #ApolloPharmacy #Issue,729,183,36,2024-11-22 12:56:00
30,shruti947,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,754,200,52,2024-11-13 07:29:00
31,nisha951,Used @ApolloPharmacy for the first time. Service was decent. #FirstImpression,886,24,13,2024-12-01 11:26:00
32,sandeep_singh,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,577,121,59,2024-12-04 11:34:00
33,manoj604,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",208,62,16,2025-01-03 00:15:00
34,ankit_reddy,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,915,200,59,2024-11-08 21:10:00
35,vikas.joshi,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,603,88,11,2025-01-19 14:01:00
36,ajay.gupta,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,378,32,19,2024-12-28 15:17:00
37,shruti.kumar,Used @ApolloPharmacy for the first time. Service was decent. #FirstImpression,746,182,0,2025-01-07 03:40:00
38,priya.verma,"I started using @ApolloPharmacy online 2 years ago. Delivery was next day earlier, now it's just 7 mins! Amazing service! #ApolloPharmacy #FastDelivery",795,144,85,2024-11-16 06:36:00
39,sneha983,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,911,197,36,2024-11-14 14:59:00
40,ajay.choudhary,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,945,182,10,2024-12-19 07:38:00
41,pooja.patel,Placed an order with @ApolloPharmacy but didn't receive one of my medicines. Immediate resolution needed! #ApolloPharmacy #Issue,820,94,14,2024-11-22 21:50:00
42,vikas977,Quick delivery and excellent customer support from @ApolloPharmacy. Highly recommend! #CustomerService,228,147,30,2025-01-14 12:58:00
43,rohit_kumar,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",11,157,100,2024-11-18 18:19:00
44,deepika.joshi,Love how @ApolloPharmacy has made healthcare accessible. So proud of their work! #Trust #ApolloPharmacy,237,189,85,2024-11-21 09:08:00
45,sneha757,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,973,163,98,2024-11-21 09:09:00
46,deepika_gupta,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,897,184,53,2024-12-11 04:37:00
47,kavya949,Ordered some medicines from @ApolloPharmacy. Standard service as usual. #ApolloPharmacy,579,97,27,2024-11-11 15:10:00
48,vikas.reddy,Great experience at @ApolloPharmacy! The staff was very friendly and helpful. #PositiveExperience,843,44,7,2025-01-05 21:46:00
49,deepika_joshi,The delivery guy didn't even call or enter my society. Terrible experience with @ApolloPharmacy. #BadService,830,5,24,2024-12-02 00:24:00
50,kavya390,@ApolloPharmacy saved my day with their fast response. Thank you! #ApolloPharmacy #Healthcare,771,187,63,2025-01-23 05:18:00
51,vikas.choudhary,"Visited @ApolloPharmacy today. It was okay, nothing special. #NeutralExperience",40,97,77,2025-01-14 06:27:00
